iter	Accuracy	MultiClass
184	0.7601099797	0.5629084105
185	0.7601889126	0.5626828107
186	0.7603730892	0.5623448779
187	0.7604125556	0.5621295832
188	0.7604783329	0.5620220038
189	0.7605704212	0.5617203448
190	0.7605309548	0.5615540969
191	0.7610045518	0.5608224818
192	0.7611887284	0.5606742429
193	0.7610440182	0.5604955513
194	0.7610966401	0.5603202626
195	0.761122951	0.5601887118
196	0.7611755729	0.5600743491
197	0.7614518378	0.5597880047
198	0.761596548	0.5596975834
199	0.7614781488	0.5594935308
200	0.7616754808	0.5593049467
201	0.7618070355	0.5590496099
202	0.7618728129	0.5589641007
203	0.7618859684	0.558958982
204	0.7618859684	0.5589082275
205	0.7619912121	0.5586847301
206	0.7619122793	0.5586080091
207	0.7620043676	0.5584986468
208	0.7620175231	0.558399941
209	0.7621490778	0.5582884651
210	0.7622806325	0.5575120224
211	0.7623069435	0.5574316983
212	0.7623200989	0.5573595669
213	0.7624516536	0.5570843627
214	0.7625963638	0.5570212659
215	0.7628989397	0.556919217
216	0.7629778725	0.5568253653
217	0.7630173389	0.5567640092
218	0.7630304944	0.5565803819
219	0.763214671	0.5563068651
220	0.7632672929	0.5561527871
221	0.7630962717	0.5560242065
222	0.763214671	0.5557960625
223	0.7632936038	0.5554873007
224	0.7634514695	0.5553209617
225	0.7637540453	0.5547122073
226	0.7640303102	0.5545898001
227	0.7640434657	0.5545011493
228	0.7642276423	0.5543677025
229	0.7642934196	0.5540327566
230	0.7644775962	0.5537678218
231	0.7644775962	0.5536672363
232	0.7645170626	0.5536245342
233	0.7645959955	0.5535420303
234	0.7647143947	0.5534919036
235	0.7648459494	0.5533808128
236	0.7647933275	0.5532333874
237	0.764832794	0.553130002
238	0.7647407057	0.5530851493
239	0.7649511932	0.5529468654
240	0.765056437	0.5528803767
241	0.765253769	0.5526648831
242	0.7653063909	0.5525262075
243	0.7654379456	0.5524253745
244	0.7656484332	0.5522387042
245	0.7656615887	0.5521836483
246	0.765753677	0.552137732
247	0.7658983871	0.551973495
248	0.7658062988	0.5519153762
249	0.7658589207	0.5517363234
250	0.7660299419	0.5514523579
251	0.7660562528	0.5514072019
252	0.765951009	0.5512841124
253	0.7660694083	0.5511691229
254	0.7660694083	0.5510823975
255	0.766200963	0.5509155173
256	0.766200963	0.5507092312
257	0.7662667403	0.5505117235
258	0.7664772279	0.5504304789
259	0.7664772279	0.5503618278
260	0.7666219381	0.5500938009
261	0.7666350935	0.5499889097
262	0.7667666482	0.5498259615
263	0.7667140264	0.5497294783
264	0.7667140264	0.549379177
265	0.7670692241	0.5492477337
266	0.7671744679	0.5491494043
267	0.7671086905	0.5488801664
268	0.7671086905	0.5487831336
269	0.767121846	0.5486081762
270	0.7671744679	0.5485186334
271	0.7671481569	0.5484562296
272	0.767319178	0.5483550554
273	0.7673717999	0.5481507271
274	0.7675165101	0.548018084
275	0.7676217539	0.5478883333
276	0.7677401531	0.5477906246
277	0.7676480648	0.5476962246
278	0.7677401531	0.5475494559
279	0.767792775	0.547464853
280	0.768016418	0.547316849
281	0.768240061	0.5471546724
282	0.768240061	0.5470963374
283	0.7681479727	0.5470161672
284	0.7683716158	0.5469488591
285	0.7683584603	0.546832044
286	0.7684373931	0.5466640847
287	0.7686347252	0.5465381667
288	0.7685426369	0.5464504365
289	0.7685426369	0.5463348807
290	0.7686215697	0.5462451503
291	0.7690557003	0.5460547044
292	0.769187255	0.545887122
293	0.7693188097	0.5457912895
294	0.7691740995	0.5456486265
295	0.7693582761	0.5452933382
296	0.769410898	0.5452041229
297	0.7695292972	0.5450882644
298	0.769634541	0.5448513173
299	0.7697003184	0.544598436
300	0.769884495	0.5440921906
301	0.7699502723	0.5439080858
302	0.770081827	0.5437967602
303	0.7700555161	0.543671141
304	0.7702002263	0.5435651131
305	0.7702528482	0.5435197037
306	0.7703186255	0.5432977696
307	0.7703449365	0.5432186303
308	0.7703580919	0.5430982607
309	0.7703449365	0.5428934239
310	0.7704501802	0.542809074
311	0.7703580919	0.5427430379
312	0.7703580919	0.5426864722
313	0.7707132897	0.5423346602
314	0.7707659115	0.5422618996
315	0.7708448444	0.5421909594
316	0.7708316889	0.5421200996
317	0.7707659115	0.5420647404
318	0.7707922225	0.5419696162
319	0.7709895546	0.541820035
320	0.771226353	0.5415349333
321	0.7711737312	0.5415039789
322	0.7711737312	0.5414055234
323	0.7713315968	0.5412375895
324	0.7714499961	0.5410962532
325	0.7715947062	0.540968305
326	0.7716736391	0.5408551198
327	0.771726261	0.5407536884
328	0.7717788828	0.5406195378
329	0.7719762149	0.540433718
330	0.7720551477	0.5402354645
331	0.7724235009	0.5401202043
332	0.7724761228	0.5400073657
333	0.7723182572	0.5399445467
334	0.7722393243	0.5398829006
335	0.7723840345	0.5397560634
336	0.7724103455	0.5397201408
337	0.7725155892	0.5396687615
338	0.7725419002	0.5395757125
339	0.7725682111	0.539451578
340	0.7726866104	0.5392450716
341	0.7726734549	0.539183181
342	0.7726734549	0.5390770753
343	0.772620833	0.5389668596
344	0.7725945221	0.5388659807
